,V1
AKT1,7.94054256
CHUK,7.4518670395
NFKB1,7.857848256
PIK3R1,6.09545979983333
CAPN1,7.317966367
CAPN2,8.261291134
BCL2,4.14805811416667
CASP3,8.105443385
RIPK1,6.671622057
CASP10,4.11945796675
BIRC2,9.326929279
CFLAR,5.81025922981818
CASP7,7.854316489
CASP8,7.23193733425
BCL2L1,7.30897096083333
ATM,6.079287924
TP53,7.7090642685
IKBKB,5.65052248933333
MAP3K14,6.1793194555
TNFRSF10C,3.7342984855
TNFSF10,4.064466345
TNFRSF10A,NA
TNFRSF10B,7.446513771
TRAF2,4.5719799685
MYD88,8.6337349005
IRAK4,5.4777599025
IKBKG,7.22913025175
CASP6,7.15669959925
BID,8.030440612
FADD,8.876345503
BIRC3,5.228064372
IL1A,3.7751220365
BAX,6.7342654455
TRADD,7.358633861
DFFA,8.585471615
DFFB,4.665233729
NGF,3.798448239
NTRK1,3.6240470805
CASP9,6.675664229
BAD,6.8875159005
IRAK1,11.044634955
CYCS,12.40126672
XIAP,4.753899406
FAS,6.12123959575
FASLG,3.69184415875
TNFRSF10D,4.0258107
TNFRSF1A,8.429150758
TNF,3.9803917305
APAF1,5.08625866966667
IL1B,4.38749568025
IL1R1,4.919439189
NFKBIA,8.972778771
IL3,3.474336465
IRAK2,NA
IL1RAP,6.506567697
AKT3,6.54791225633333
PRKACA,5.64676179475
PPP3R1,7.59000556075
RELA,8.051130627
AKT2,4.46308610275
PPP3CA,8.89011586083333
PPP3CB,8.64641412175
PPP3CC,6.27534597025
PRKAR2B,6.5895034625
PRKACB,7.88916813775
PRKACG,3.9681541765
PIK3R3,6.6415384775
PRKAR1A,10.4086987146667
PRKAR1B,5.85907199325
PRKAR2A,7.64105675633333
IRAK3,3.4996799045
PIK3CA,7.189681825
PIK3CG,3.51634116875
PIK3R2,NA
PRKX,5.147735959
ENDOG,6.940027612
AIFM1,8.4802383145
IL3RA,3.9963298045
CSF2RB,3.870338269
PIK3CB,6.45700039275
